                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6944,                 2.2319,                 1.7835,                      0,                      0,                      0,                      0,                 6.4346,                    inf,                 224.14,               0.070349,              0.0032946,              0.0032946
                      1,                 1.6522,                 1.7827,                 1.6667,                0.20972,                0.38036,                0.16083,                0.07328,                 2.1967,                 3.9147,                 2.9696,               0.040347,              0.0066263,              0.0066263
                      2,                 1.5828,                 1.5821,                 1.5914,                0.13646,                0.21611,                0.10554,                0.03632,                 2.4775,                 3.8138,                 2.8891,               0.010339,              0.0099515,              0.0099515
                      3,                 1.5308,                 1.5486,                  1.563,                0.71736,                0.24775,                0.25041,                0.11881,                 2.0808,                 2.5133,                 2.5202,               0.009978,               0.009978,               0.009978
                      4,                  1.534,                 1.5207,                 1.5684,                0.18149,                0.45962,                  0.135,                0.06618,                 1.7961,                 4.2362,                 2.1309,               0.009978,               0.009978,               0.009978
                      5,                 1.4929,                 1.4908,                 1.5416,                0.36049,                0.32551,                0.15865,                0.06794,                 1.9775,                 2.9812,                  2.367,               0.009961,               0.009961,               0.009961
                      6,                 1.4792,                 1.4724,                 1.5327,                0.46158,                0.54118,                0.47832,                0.24053,                 1.8616,                  1.698,                 2.0667,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.4647,                 1.4467,                  1.529,                0.23778,                0.44782,                0.19876,                0.09129,                  1.845,                 3.1056,                 2.0573,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.4244,                 1.3963,                  1.501,                0.77875,                 0.5654,                0.68971,                0.39484,                 1.5682,                 1.3741,                 1.7725,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.4227,                  1.376,                 1.5004,                 0.6398,                0.56589,                 0.6347,                0.32499,                 1.7958,                 1.5223,                 2.0339,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.3826,                 1.3307,                 1.4742,                0.68668,                0.47322,                0.52457,                 0.2869,                 1.6284,                 1.9358,                 1.9546,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.3926,                 1.3371,                  1.485,                0.77918,                0.70721,                0.80097,                0.46855,                 1.4726,                 1.2765,                 1.6989,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.3959,                 1.3252,                  1.477,                 0.7916,                0.67076,                 0.7656,                0.43733,                  1.648,                 1.3347,                 1.8734,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.3554,                  1.298,                 1.4515,                0.53019,                0.59153,                0.64735,                0.35191,                  1.547,                  1.717,                 1.8236,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.3824,                 1.3115,                 1.4802,                0.75321,                0.67587,                0.76023,                0.42697,                 1.5902,                 1.2568,                 1.7509,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.3303,                 1.2692,                 1.4396,                0.81367,                0.60527,                0.74704,                0.41415,                 1.6366,                 1.3283,                   1.83,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.3411,                 1.2774,                  1.442,                0.84676,                0.66782,                0.76213,                0.46715,                 1.4707,                 1.2036,                 1.7382,              0.0094605,              0.0094605,              0.0094605
                     17,                 1.3347,                 1.2735,                 1.4418,                 0.7619,                0.65432,                0.74401,                0.41672,                 1.5378,                 1.4443,                 1.7933,              0.0093877,              0.0093877,              0.0093877
                     18,                 1.3385,                 1.2222,                 1.4355,                0.77313,                0.71655,                0.79756,                0.47393,                 1.4589,                 1.2066,                 1.6977,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.3131,                 1.2192,                 1.4293,                 0.7258,                0.59207,                0.66724,                0.36851,                  1.479,                 1.3822,                 1.6756,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.2976,                 1.1899,                 1.4218,                0.63117,                0.66558,                 0.6733,                0.37886,                 1.4658,                 1.2917,                 1.6547,               0.009144,               0.009144,               0.009144
                     21,                 1.2943,                 1.2157,                 1.4146,                0.85808,                0.67443,                0.79625,                0.44255,                 1.6554,                 1.2761,                 1.8714,              0.0090546,              0.0090546,              0.0090546
                     22,                 1.2967,                 1.2026,                 1.4116,                0.62923,                0.57842,                0.59212,                 0.3433,                 1.6364,                 1.5129,                 1.8817,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.2559,                 1.1711,                 1.3928,                0.76528,                 0.6376,                0.72689,                0.41258,                 1.4949,                 1.3326,                 1.6977,               0.008864,               0.008864,               0.008864
                     24,                  1.275,                 1.1863,                 1.4016,                0.82229,                0.68119,                0.77779,                0.46533,                 1.5342,                 1.2399,                 1.7862,               0.008763,               0.008763,               0.008763
                     25,                 1.2512,                 1.1448,                   1.39,                0.75329,                0.59221,                0.73085,                0.40307,                 1.5791,                 1.2915,                 1.7734,              0.0086584,              0.0086584,              0.0086584
                     26,                 1.2357,                 1.1539,                 1.3886,                0.77389,                0.73611,                0.79319,                0.49785,                 1.3438,                 1.1643,                  1.621,              0.0085502,              0.0085502,              0.0085502
                     27,                 1.2562,                 1.1612,                 1.3903,                0.75797,                0.64211,                0.74975,                0.43527,                  1.364,                 1.1717,                 1.5941,              0.0084385,              0.0084385,              0.0084385
                     28,                 1.2487,                 1.1425,                 1.3917,                 0.6929,                0.67288,                0.70439,                0.41033,                  1.424,                 1.3128,                  1.655,              0.0083235,              0.0083235,              0.0083235
                     29,                 1.2279,                 1.1487,                 1.3874,                0.80161,                0.72771,                0.80462,                0.50113,                 1.4015,                  1.013,                 1.6402,              0.0082052,              0.0082052,              0.0082052
                     30,                 1.2034,                 1.1051,                 1.3663,                0.75851,                0.75488,                0.80812,                0.48311,                 1.4084,                 1.2959,                 1.6255,              0.0080839,              0.0080839,              0.0080839
                     31,                 1.2239,                  1.114,                 1.3725,                0.65989,                0.66342,                0.65732,                0.36957,                 1.5233,                 1.3475,                 1.7675,              0.0079595,              0.0079595,              0.0079595
                     32,                 1.2175,                 1.1133,                 1.3811,                0.75168,                0.69154,                0.75236,                0.39177,                 1.7158,                 1.2124,                 1.9658,              0.0078323,              0.0078323,              0.0078323
                     33,                 1.2127,                 1.0942,                 1.3648,                0.84062,                0.73112,                0.80549,                0.47771,                 1.5423,                 1.1909,                  1.828,              0.0077023,              0.0077023,              0.0077023
                     34,                 1.1951,                 1.0807,                 1.3551,                0.82079,                0.73613,                 0.7765,                0.45422,                 1.5442,                 1.1444,                 1.8284,              0.0075698,              0.0075698,              0.0075698
                     35,                 1.1751,                 1.0675,                 1.3414,                0.73631,                0.72102,                0.78837,                0.48839,                 1.3439,                 1.0757,                 1.5734,              0.0074347,              0.0074347,              0.0074347
                     36,                 1.1684,                  1.037,                 1.3419,                0.45478,                0.49452,                0.47133,                0.28046,                 1.6192,                  1.674,                 1.8118,              0.0072973,              0.0072973,              0.0072973
                     37,                 1.1664,                  1.071,                 1.3316,                0.59219,                0.72026,                0.68872,                 0.4145,                 1.4762,                 1.1533,                 1.7018,              0.0071576,              0.0071576,              0.0071576
                     38,                 1.1441,                  1.032,                 1.3292,                 0.8817,                0.70759,                0.84175,                0.53353,                 1.2928,                    1.1,                 1.5566,              0.0070159,              0.0070159,              0.0070159
                     39,                 1.1424,                 1.0451,                 1.3172,                0.42308,                0.42346,                0.56496,                0.30259,                 1.9342,                 2.2903,                 2.2658,              0.0068722,              0.0068722,              0.0068722
                     40,                 1.1379,                 1.0462,                 1.3185,                0.80145,                0.71044,                0.79761,                0.46673,                 1.4864,                 1.0999,                 1.6931,              0.0067268,              0.0067268,              0.0067268
                     41,                 1.1122,                 1.0121,                 1.3061,                0.68433,                0.59983,                0.66797,                0.37682,                 1.3785,                 1.6283,                 1.6022,              0.0065796,              0.0065796,              0.0065796
                     42,                  1.105,                 1.0148,                 1.3015,                0.78088,                 0.7081,                0.78554,                0.45128,                 1.4813,                 1.1466,                 1.6603,               0.006431,               0.006431,               0.006431
                     43,                 1.1231,                  1.007,                 1.3192,                0.86714,                0.70156,                0.82793,                0.53184,                 1.3091,                0.94879,                 1.5398,               0.006281,               0.006281,               0.006281
                     44,                 1.1097,                0.99994,                 1.3026,                0.84603,                0.73163,                0.84316,                0.51831,                 1.4359,                 1.0297,                 1.6688,              0.0061298,              0.0061298,              0.0061298
                     45,                 1.0846,                0.98147,                 1.3024,                 0.8164,                0.71375,                0.78383,                0.48014,                 1.4123,                 1.0625,                 1.6341,              0.0059775,              0.0059775,              0.0059775
                     46,                 1.1021,                0.98755,                 1.2938,                 0.8392,                0.73695,                0.83496,                 0.5221,                 1.3256,                0.93272,                 1.5315,              0.0058244,              0.0058244,              0.0058244
                     47,                 1.0906,                0.98244,                 1.2998,                0.72612,                0.65513,                 0.7185,                0.41264,                 1.4504,                 1.0769,                  1.687,              0.0056704,              0.0056704,              0.0056704
                     48,                  1.072,                0.96127,                  1.287,                0.81787,                0.72189,                0.80829,                 0.5005,                  1.383,                 1.0476,                 1.6062,              0.0055158,              0.0055158,              0.0055158
